"V1"	"V2"
"ev:E00257"	"Cinchona bark"
"ev:E00258"	"Passiflora extact"
"ev:E00259"	"Camptotheca acuminata"
"ev:E00260"	"Stephaura cepharantha Hayata extraction alkaloid"
"ev:E00261"	"Rosskastanien extract"
"ev:E00262"	"Nardostachytis rhizoma Nardostachys root"
"ev:E00263"	"Turtle shell Fresh-water turtle plastron Tortoise plastron"
"ev:E00264"	"Dianthus above ground part"
"ev:E00265"	"Melia bark"
"ev:E00266"	"Citron"
"ev:E00267"	"Gecko"
"ev:E00268"	"Polygonum cuspidatum root"
"ev:E00269"	"Coriandrum sativum fruit"
"ev:E00270"	"Walnut"
"ev:E00271"	"Gallnut Sumac gallnut"
"ev:E00272"	"Trogopterus feces Flying squirrel feces"
"ev:E00273"	"Fenugreek seed"
"ev:E00274"	"Cynomorium herb"
"ev:E00275"	"Sparganium tuber"
"ev:E00276"	"Quisqualis fruit Rangoon creeper fruit"
"ev:E00277"	"Magnetite"
"ev:E00278"	"Musk"
"ev:E00279"	"Medicated leaven"
"ev:E00280"	"Gentiana macrophylla root (non-JP) Gentianae macrophyllae radix Large gentian root"
"ev:E00281"	"Agarwood (non-JP) Aquilariae resinatum lignum"
"ev:E00282"	"Prepared soybean"
"ev:E00283"	"Pyrrosia leaf"
"ev:E00284"	"Dendrobium"
"ev:E00285"	"Elder"
"ev:E00286"	"Madder root Rubia root"
"ev:E00287"	"Inula flower"
"ev:E00288"	"Mantidae mantis egg-case"
"ev:E00289"	"Star anise"
"ev:E00290"	"Salvia root"
"ev:E00291"	"Sanguisorbae radix Sanguisorba root Burnet root"
"ev:E00292"	"Dayflower"
"ev:E00293"	"Descurainia seed Lepidium seed"
"ev:E00294"	"Agglomerative substance of Bamboo"
"ev:E00295"	"Sichuan-pepper Zanthoxylum schinifolium fruit"
"ev:E00296"	"Male seal sex organ"
"ev:E00297"	"Hippocampus Seahorse"
"ev:E00298"	"Codonopsis root"
"ev:E00299"	"Common rush (non-JP) Rush"
"ev:E00300"	"Plant worm Vegetative wasp Cordyceps sinensis"
"ev:E00301"	"Dodder seed Cuscuta seed"
"ev:E00302"	"Oriental arborvitae kernel"
"ev:E00303"	"Dictamnus root bark"
"ev:E00304"	"Morinda root"
"ev:E00305"	"Chinese lobelia"
"ev:E00306"	"Dioscorea hypoglauca, Dioscorea tokoro rhizome"
"ev:E00307"	"Indian long pepper fruit"
"ev:E00308"	"Stiff silkworm (non-JP) Bombyx batryticatus"
"ev:E00309"	"Sandalwood"
"ev:E00310"	"Ampelopsis root"
"ev:E00311"	"Boneset"
"ev:E00312"	"Typha pollen"
"ev:E00313"	"Myrrh Somali myrrh"
"ev:E00314"	"Blackberry lily root"
"ev:E00315"	"Clove fruit"
"ev:E00316"	"Curculigo rhizome"
"ev:E00317"	"Melia fruit (non-JP) Meliae fructus"
"ev:E00318"	"Valerian rhizome"
"ev:E00319"	"Deer velvet"
"ev:E00320"	"Chinese angelica root"
"ev:E00321"	"Chinese cnidium rhizome"
"ev:E00322"	"German chamomile flower (non-JP) Chamomile (NF XXI) Chamomillae flos"
"ev:E00323"	"Lycium leaf (non-JP) Lycii folium"
"ev:E00324"	"Dipsacus asperoides root"
"ev:E00325"	"Brassica juncea seed"
"ev:E00326"	"Hypericum herb Otogiriso"
"ev:E00327"	"Hematite"
"ev:E00328"	"Inula root"
"ev:E00329"	"Corn silk"
"ev:E00330"	"Psoralea seed"
"ev:E00331"	"Glechoma hederacea herb"
"ev:E00332"	"Cervus male sex organ"
"ev:E00333"	"Sargassum herb"
"ev:E00334"	"Cowberry leaf"
"ev:E00335"	"Black pepper"
"ev:E00336"	"Rhinoceros unicornis, Rhinoceros sondaicus horn"
"ev:E00337"	"Ligustrum lucidum fruit"
"ev:E00338"	"Immature citrus unshiu peel (non-JP) Citri unshiu pericarpium immaturus Citrus immature fruit and fruit peel"
"ev:E00339"	"Viscum stem"
"ev:E00340"	"Xanthium fruit"
"ev:E00341"	"Sprouted soybeans"
"ev:E00342"	"Cistanche stem"
"ev:E00343"	"Boswellia gum substance"
"ev:E00344"	"Amomi rotundi fructus Amomum fruit"
"ev:E00345"	"Tussilago farfara flower bud"
"ev:E00346"	"Taraxacum root"
"ev:E00347"	"Allium leaf sheath"
"ev:E00348"	"Hibiscus syriacus bark"
"ev:E00349"	"Actinidia polygama gall"
"ev:E00350"	"Saxifraga stolonifera herb"
"ev:E00351"	"Tremolite"
"ev:E00352"	"Polygonati odorati rhizoma"
"ev:E00353"	"Kaempferia galanga rhizome"
"ev:E00354"	"Trachycarpus fortunei leaf"
"ev:E00355"	"Artemisia annua stem and leaf"
"ev:E00356"	"Haliotis shell"
"ev:E00357"	"Agrimonia herb"
"ev:E00358"	"Albizzia bark"
"ev:E00359"	"Aconitum japonicum tuberous root"
"ev:E00360"	"Aristolochia root"
"ev:E00361"	"Speranskia herb"
"ev:E00362"	"Isatis root"
"ev:E00363"	"Indigo"
"ev:E00364"	"Kochia scoparia fruit"
"ev:E00365"	"Liquidambar formosana fruit"
"ev:E00366"	"Morus leaf"
"ev:E00367"	"Nelumbo leaf"
"ev:E00368"	"Croton seed"
"ev:E00369"	"Cynanchum root"
"ev:E00370"	"Daphne flower bud"
"ev:E00371"	"Dioscorea bulbifera tuber"
"ev:E00372"	"Panax notoginseng root"
"ev:E00373"	"Patrinia villosa root"
"ev:E00374"	"Periploca sepium root bark"
"ev:E00375"	"Picrorhiza rhizome"
"ev:E00376"	"Platycladus orientalis branch"
"ev:E00377"	"Manis pentadactyla cuirass"
"ev:E00378"	"Pulsatillae radix Pulsatilla root"
"ev:E00379"	"Punica granatum fruit peel"
"ev:E00380"	"Raphanus sativus seed"
"ev:E00381"	"Rhus verniciflua tree sap"
"ev:E00382"	"Rosa laevigata fruit"
"ev:E00383"	"Daemonorops draco resin"
"ev:E00384"	"Eclipta prostrata herb"
"ev:E00385"	"Elsholtzia herb"
"ev:E00386"	"Equisetum herb"
"ev:E00387"	"Erythrina indica bark"
"ev:E00388"	"Euphorbia kansui radix Euphorbia kansui root"
"ev:E00389"	"Ganoderma lucidum fruit body"
"ev:E00390"	"Scutellaria barbata herb"
"ev:E00391"	"Vaccaria pyramidata seed"
"ev:E00392"	"Phytolacca esculenta root"
"ev:E00393"	"Euphorbia helioscopia stem and leaf"
"ev:E00394"	"Morus alba shoot"
"ev:E00395"	"Tetrapanax papyriferus stem"
"ev:E00396"	"Veratrum root"
"ev:E00397"	"Curare"
"ev:E00398"	"Coca leaf"
"ev:E00399"	"Colchicum seed Colchicum bulb"
"ev:E00400"	"Santonica Wormseed"
"ev:E00401"	"Camphor tree"
"ev:E00402"	"Jaborandi leaf"
"ev:E00403"	"Yew"
"ev:E00404"	"Madagascar periwinkle"
"ev:E00405"	"Plau-noi"
"ev:E00406"	"Panax quinquefolius root American ginseng"
"ev:E00407"	"Anemone altaica rhizome Rhizoma anemone"
"ev:E00408"	"Knoxia valerianoides root"
"ev:E00409"	"Pleione pseudobulb"
"ev:E00410"	"Homalomena rhizome Homalonemae rhizoma"
"ev:E00411"	"Semiaquilegia adoxoides root Semiaquilegiae radix"
"ev:E00412"	"Pseudostellaria heterophylla tuberous root Pseudostellariae radix"
"ev:E00413"	"Bletilla striata corm Bletillae tuber"
"ev:E00414"	"Cynanchum root and rhizome Cynanchi stauntoni rhizoma et radix"
"ev:E00415"	"Stemona root Stemonae radix"
"ev:E00416"	"Cibotium barometz rhizome"
"ev:E00417"	"Phragmites communis rhizome and stem Pharagmitis rhizoma"
"ev:E00418"	"Tinospora tuberous root Tinosporae radix"
"ev:E00419"	"Boehmeria nivea root Boehmeriae radix"
"ev:E00420"	"Anemone raddeana root Anemones raddeanae rhizoma"
"ev:E00421"	"Processed changium smyrnioides root"
"ev:E00422"	"Stellaria dichotoma root"
"ev:E00423"	"Alocasia odora rhizome"
"ev:E00424"	"Drynaria rhizome Drynariae rhizoma"
"ev:E00425"	"Dryopteris, Athyrium rhizome"
"ev:E00426"	"Dichroa febrifuga root Dichroae radix"
"ev:E00427"	"Allium chinense bulb Allii chinensis bulbus"
"ev:E00428"	"Echinops latifolius root"
"ev:E00429"	"Physalis alkekengi root and rhizoma Physalitis rhizoma et radix"
"ev:E00430"	"Cirsium root, rhizome or herb"
"ev:E00431"	"Hydnocarpus anthelmintica seed Hydnocarpi semen"
"ev:E00432"	"Aristolochia fruit Aristolochiae fructus"
"ev:E00433"	"Gleditsia sinensis seed"
"ev:E00434"	"Anethum graveolens fruit Anethi fructus"
"ev:E00435"	"Momordica cochinchinensis seed Momordicae semen"
"ev:E00436"	"Astragalus complanatus seed Astragali semen"
"ev:E00437"	"Alpinia galanga fruit Alpiniae galangae fructus"
"ev:E00438"	"Amomum tsaoko fruit Amomi tsaoko fructus"
"ev:E00439"	"Alpinia katsumadai seed Alpiniae katsumadaii semen"
"ev:E00440"	"Litchi chinensis seed Litchi semen"
"ev:E00441"	"Citrus medica fruit peel"
"ev:E00442"	"Prunus humilis, Prunus japonica seed"
"ev:E00443"	"Euphorbia lathyris seed Euphorbiae lathyridis semen"
"ev:E00444"	"Allium tuberosum seed Allii tuberosi semen"
"ev:E00445"	"Celosia argentea seed Celosiae semen"
"ev:E00446"	"Linum usitatissimum seed Lini semen Flaxseed"
"ev:E00447"	"Hovenia dulcis fruit or seed Hoveniae semen seu fructus"
"ev:E00448"	"Sterculia seed Sterculiae semen"
"ev:E00449"	"Piper cubeba fruit Cubrbae fructus"
"ev:E00450"	"Vigna angularis seed Phaseoli semen"
"ev:E00451"	"Euryale ferox seed Euryales semen"
"ev:E00452"	"Ricinus communis seed Ricini semen"
"ev:E00453"	"Firmiana platanifolia seed Firmianae semen"
"ev:E00454"	"Broussonetia papyrifera fruit Broussonetiae fructus"
"ev:E00455"	"Daucus carota fruit"
"ev:E00456"	"Morus alba syncarp Mori fructus"
"ev:E00457"	"Torreya grandis seed Torreyae semen"
"ev:E00458"	"Akebia fruit Akebiae fructus"
"ev:E00459"	"Abutilon seed Abutili semen"
"ev:E00460"	"Prinsepia uniflora putamen Prinsepiae semen"
"ev:E00461"	"Oroxylum indicum seed Oroxyli semen"
"ev:E00462"	"Iris pallasii seed Iridis semen"
"ev:E00463"	"Momordica grosvenori fruit Momordicae fructus"
"ev:E00464"	"Viola harb"
"ev:E00465"	"Verbena officinalis herb Verbenae herba"
"ev:E00466"	"Stellaria media herb Stellariae herba"
"ev:E00467"	"Portulaca oleracea herb Portulacae herba"
"ev:E00468"	"Conandron ramondioides herb Conandri herba"
"ev:E00469"	"Ottelia alismoides herb Otteliae herba"
"ev:E00470"	"Tetragoniae herba"
"ev:E00471"	"Desmodium styracifolium herb Desmodii herba"
"ev:E00472"	"Lycopus lucidus herb Licopi herba"
"ev:E00473"	"Potentilla discolor herb"
"ev:E00474"	"Selaginella tamariscina herb Selaginellae herba"
"ev:E00475"	"Spirodela polyrrhiza herb Spiroelae herba Pistiae herba"
"ev:E00476"	"Pyrola herb (China) Pyrolae herba"
"ev:E00477"	"Lysimachia foenum-graecum herb Lysimachiae herba"
"ev:E00478"	"Polygonum herb"
"ev:E00479"	"Abrus cantoniensis herb Abri herba"
"ev:E00480"	"Lepisorus herb Lepisori herba"
"ev:E00481"	"Ajugae herba"
"ev:E00482"	"Photinia serrulata leaf"
"ev:E00483"	"Vaccinium vitis-idaea leaf Vitis-idaea"
"ev:E00484"	"Lophatherum gracile herb"
"ev:E00485"	"Quercus salicina leaf Querci folium"
"ev:E00486"	"Celosia flower cluster Celosiae flos"
"ev:E00487"	"Pueraria flower Puerariae flos"
"ev:E00488"	"Prunus mume flower bud Mume flos"
"ev:E00489"	"Chimonanthus praecox flower bud Chimonanthi flos"
"ev:E00490"	"Eriocaulon herb"
"ev:E00491"	"Buddleja officinalis flower bud or inflorescence Buddleiae flos"
"ev:E00492"	"Rosa rugosa flower bud Rosae rugosae flos"
"ev:E00493"	"Campsis grandiflora flower Campsitis flos"
"ev:E00494"	"Nelumbo nucifera stamen Nelumbinis stamen"
