"k"	"w"	"num_featg"	"fitness_gbest"	"min_fit_x"	""
320	1	10	-111.99	-111.99	2
321	1	10	-111.99	-111.99	4
322	1	10	-111.99	-111.99	3
323	1	10	-111.99	-111.99	2
324	1	10	-111.99	-111.99	2
325	1	10	-111.99	-111.99	1
326	1	10	-111.99	-111.99	1
327	1	10	-111.99	-111.99	2
328	1	10	-111.99	-111.99	3
329	1	10	-111.99	-111.99	2
330	1	10	-111.99	-111.99	3
331	1	10	-111.99	-111.99	2
332	1	10	-111.99	-111.99	3
333	1	10	-111.99	-111.99	2
334	1	10	-111.99	-111.99	3
335	1	10	-111.99	-111.99	2
336	1	10	-111.99	-111.99	2
337	1	10	-111.99	-111.99	2
338	1	10	-111.99	-111.99	3
339	1	10	-111.99	-111.99	3
340	1	10	-111.99	-111.99	1
341	1	10	-111.99	-111.99	3
342	1	10	-111.99	-111.99	2
343	1	10	-111.99	-111.99	2
344	1	10	-111.99	-111.99	2
345	1	10	-111.99	-111.99	2
346	1	10	-111.99	-111.99	2
347	1	10	-111.99	-111.99	1
348	1	10	-111.99	-111.99	1
349	1	10	-111.99	-111.99	1
350	1	10	-111.99	-111.99	1
351	1	10	-111.99	-111.99	1
352	1	10	-111.99	-111.99	3
353	1	10	-111.99	-111.99	2
354	1	10	-111.99	-111.99	1
355	1	10	-111.99	-111.99	3
356	1	10	-111.99	-111.99	2
357	1	10	-111.99	-111.99	2
358	1	10	-111.99	-111.99	3
359	1	10	-111.99	-111.99	4
360	1	10	-111.99	-111.99	2
361	1	10	-111.99	-111.99	2
362	1	10	-111.99	-111.99	1
363	1	10	-111.99	1e+21	2
364	1	10	-111.99	-111.99	2
365	1	10	-111.99	-111.99	2
366	1	10	-111.99	-111.99	2
367	1	10	-111.99	-111.99	2
368	1	10	-111.99	-111.99	2
369	1	10	-111.99	-111.99	1
370	1	10	-111.99	-111.99	3
371	1	10	-111.99	-111.99	2
372	1	10	-111.99	-111.99	3
373	1	10	-111.99	-111.99	2
374	1	10	-111.99	-111.99	1
375	1	10	-111.99	-111.99	3
376	1	10	-111.99	-111.99	1
377	1	10	-111.99	-111.99	2
378	1	10	-111.99	-111.99	2
379	1	10	-111.99	-111.99	2
380	1	10	-111.99	-111.99	2
381	1	10	-111.99	-111.99	3
382	1	10	-111.99	-111.99	2
383	1	10	-111.99	-111.99	4
384	1	10	-111.99	-111.99	2
385	1	10	-111.99	-111.99	3
386	1	10	-111.99	-111.99	1
387	1	10	-111.99	-111.99	2
388	1	10	-111.99	-111.99	2
389	1	10	-111.99	-111.99	2
390	1	10	-111.99	-111.99	1
391	1	10	-111.99	-111.99	2
392	1	10	-111.99	-111.99	2
393	1	10	-111.99	-111.99	2
394	1	10	-111.99	-111.99	2
395	1	10	-111.99	-111.99	2
396	1	10	-111.99	-111.99	2
397	1	10	-111.99	-111.99	3
398	1	10	-111.99	-111.99	2
399	1	10	-111.99	-111.99	2
400	1	10	-111.99	-111.99	1
401	1	10	-111.99	-111.99	2
402	1	10	-111.99	-111.99	2
403	1	10	-111.99	-111.99	2
404	1	10	-111.99	-111.99	2
405	1	10	-111.99	-111.99	2
406	1	10	-111.99	-111.99	3
407	1	10	-111.99	-111.99	2
408	1	10	-111.99	-111.99	2
409	1	10	-111.99	-111.99	1
410	1	10	-111.99	-111.99	3
411	1	10	-111.99	-111.99	3
412	1	10	-111.99	-111.99	3
413	1	10	-111.99	-111.99	1
414	1	10	-111.99	1e+21	3
415	1	10	-111.99	-111.99	3
416	1	10	-111.99	-111.99	1
417	1	10	-111.99	-111.99	3
418	1	10	-111.99	-111.99	2
419	1	10	-111.99	-111.99	2
420	1	10	-111.99	-111.99	1
421	1	10	-111.99	-111.99	2
422	1	10	-111.99	-111.99	3
423	1	10	-111.99	-111.99	2
424	1	10	-111.99	-111.99	3
425	1	10	-111.99	-111.99	2
426	1	10	-111.99	-111.99	2
427	1	10	-111.99	-111.99	1
428	1	10	-111.99	-111.99	2
429	1	10	-111.99	-111.99	2
430	1	10	-111.99	-111.99	2
431	1	10	-111.99	-111.99	2
432	1	10	-111.99	-111.99	1
433	1	10	-111.99	-111.99	5
434	1	10	-111.99	-111.99	1
435	1	10	-111.99	-111.99	2
436	1	10	-111.99	-111.99	2
437	1	10	-111.99	-111.99	2
438	1	10	-111.99	-111.99	2
439	1	10	-111.99	-111.99	2
440	1	10	-111.99	-111.99	1
441	1	10	-111.99	-111.99	2
442	1	10	-111.99	-111.99	2
443	1	10	-111.99	-111.99	1
444	1	10	-111.99	-111.99	2
445	1	10	-111.99	-111.99	2
446	1	10	-111.99	-111.99	2
447	1	10	-111.99	-111.99	2
448	1	10	-111.99	-111.99	2
449	1	10	-111.99	-111.99	1
450	1	10	-111.99	-111.99	1
451	1	10	-111.99	-111.99	2
452	1	10	-111.99	-111.99	1
453	1	10	-111.99	-111.99	1
454	1	10	-111.99	-111.99	3
455	1	10	-111.99	-111.99	3
456	1	10	-111.99	-111.99	2
457	1	10	-111.99	-111.99	2
458	1	10	-111.99	-111.99	2
459	1	10	-111.99	-111.99	2
460	1	10	-111.99	-111.99	2
461	1	10	-111.99	-111.99	2
462	1	10	-111.99	-111.99	2
463	1	10	-111.99	-111.99	3
464	1	10	-111.99	-111.99	2
465	1	10	-111.99	1e+21	1
466	1	10	-111.99	-111.99	3
467	1	10	-111.99	-111.99	3
468	1	10	-111.99	-111.99	3
469	1	10	-111.99	-111.99	2
470	1	10	-111.99	-111.99	2
471	1	10	-111.99	-111.99	2
472	1	10	-111.99	-111.99	2
473	1	10	-111.99	-111.99	2
474	1	10	-111.99	-111.99	1
475	1	10	-111.99	-111.99	2
476	1	10	-111.99	-111.99	1
477	1	10	-111.99	-111.99	1
478	1	10	-111.99	-111.99	1
479	1	10	-111.99	-111.99	1
480	1	10	-111.99	-111.99	2
481	1	10	-111.99	-111.99	2
482	1	10	-111.99	-111.99	1
483	1	10	-111.99	-111.99	2
484	1	10	-111.99	-111.99	3
485	1	10	-111.99	-111.99	4
486	1	10	-111.99	-111.99	3
487	1	10	-111.99	-111.99	3
488	1	10	-111.99	-111.99	2
489	1	10	-111.99	-111.99	1
490	1	10	-111.99	-111.99	1
491	1	10	-111.99	-111.99	2
492	1	10	-111.99	-111.99	2
493	1	10	-111.99	-111.99	1
494	1	10	-111.99	-111.99	3
495	1	10	-111.99	-111.99	2
496	1	10	-111.99	-111.99	1
497	1	10	-111.99	-111.99	2
498	1	10	-111.99	-111.99	2
499	1	10	-111.99	-111.99	2
500	1	10	-111.99	-111.99	2
501	1	10	-111.99	-111.99	2
502	1	10	-111.99	-111.99	3
503	1	10	-111.99	-111.99	3
504	1	10	-111.99	-111.99	2
505	1	10	-111.99	-111.99	2
506	1	10	-111.99	-111.99	4
507	1	10	-111.99	-111.99	2
508	1	10	-111.99	-111.99	3
509	1	10	-111.99	-111.99	1
510	1	10	-111.99	-111.99	1
511	1	10	-111.99	-111.99	2
512	1	10	-111.99	-111.99	2
513	1	10	-111.99	-111.99	3
514	1	10	-111.99	-111.99	2
515	1	10	-111.99	-111.99	4
516	1	10	-111.99	1e+21	2
517	1	10	-111.99	-111.99	3
518	1	10	-111.99	-111.99	2
519	1	10	-111.99	-111.99	2
520	1	10	-111.99	-111.99	3
521	1	10	-111.99	-111.99	3
522	1	10	-111.99	-111.99	1
523	1	10	-111.99	-111.99	1
524	1	10	-111.99	-111.99	3
525	1	10	-111.99	-111.99	2
526	1	10	-111.99	-111.99	2
527	1	10	-111.99	-111.99	2
528	1	10	-111.99	-111.99	1
529	1	10	-111.99	-111.99	1
530	1	10	-111.99	-111.99	2
531	1	10	-111.99	-111.99	2
532	1	10	-111.99	-111.99	1
533	1	10	-111.99	-111.99	1
534	1	10	-111.99	-111.99	2
535	1	10	-111.99	-111.99	2
536	1	10	-111.99	-111.99	2
537	1	10	-111.99	-111.99	2
538	1	10	-111.99	-111.99	1
539	1	10	-111.99	-111.99	1
540	1	10	-111.99	-111.99	2
541	1	10	-111.99	-111.99	1
542	1	10	-111.99	-111.99	2
543	1	10	-111.99	-111.99	1
544	1	10	-111.99	-111.99	1
545	1	10	-111.99	-111.99	1
546	1	10	-111.99	-111.99	2
547	1	10	-111.99	-111.99	1
548	1	10	-111.99	-111.99	2
549	1	10	-111.99	-111.99	2
550	1	10	-111.99	-111.99	2
551	1	10	-111.99	-111.99	2
552	1	10	-111.99	-111.99	1
553	1	10	-111.99	-111.99	1
554	1	10	-111.99	-111.99	2
555	1	10	-111.99	-111.99	1
556	1	10	-111.99	-111.99	2
557	1	10	-111.99	-111.99	2
558	1	10	-111.99	-111.99	2
559	1	10	-111.99	-111.99	1
560	1	10	-111.99	-111.99	2
561	1	10	-111.99	-111.99	3
562	1	10	-111.99	-111.99	2
563	1	10	-111.99	-111.99	2
564	1	10	-111.99	-111.99	2
565	1	10	-111.99	-111.99	1
566	1	10	-111.99	-111.99	1
567	1	10	-111.99	1e+21	2
568	1	10	-111.99	-111.99	2
569	1	10	-111.99	-111.99	2
570	1	10	-111.99	-111.99	4
571	1	10	-111.99	-111.99	3
572	1	10	-111.99	-111.99	2
573	1	10	-111.99	-111.99	1
574	1	10	-111.99	-111.99	2
575	1	10	-111.99	-111.99	2
576	1	10	-111.99	-111.99	3
577	1	10	-111.99	-111.99	1
578	1	10	-111.99	-111.99	2
579	1	10	-111.99	-111.99	2
580	1	10	-111.99	-111.99	2
581	1	10	-111.99	-111.99	1
582	1	10	-111.99	-111.99	1
583	1	10	-111.99	-111.99	2
584	1	10	-111.99	-111.99	2
585	1	10	-111.99	-111.99	2
586	1	10	-111.99	-111.99	2
587	1	10	-111.99	-111.99	3
588	1	10	-111.99	-111.99	2
589	1	10	-111.99	-111.99	2
590	1	10	-111.99	-111.99	3
591	1	10	-111.99	-111.99	2
592	1	10	-111.99	-111.99	2
593	1	10	-111.99	-111.99	2
594	1	10	-111.99	-111.99	3
595	1	10	-111.99	-111.99	3
596	1	10	-111.99	-111.99	2
597	1	10	-111.99	-111.99	2
598	1	10	-111.99	-111.99	5
599	1	10	-111.99	-111.99	2
600	1	10	-111.99	-111.99	1
601	1	10	-111.99	-111.99	1
602	1	10	-111.99	-111.99	3
603	1	10	-111.99	-111.99	2
604	1	10	-111.99	-111.99	1
605	1	10	-111.99	-111.99	1
606	1	10	-111.99	-111.99	1
607	1	10	-111.99	-111.99	2
608	1	10	-111.99	-111.99	2
609	1	10	-111.99	-111.99	1
610	1	10	-111.99	-111.99	1
611	1	10	-111.99	-111.99	2
612	1	10	-111.99	-111.99	3
613	1	10	-111.99	-111.99	2
614	1	10	-111.99	-111.99	1
615	1	10	-111.99	-111.99	2
616	1	10	-111.99	-111.99	3
617	1	10	-111.99	-111.99	2
618	1	10	-111.99	1e+21	4
619	1	10	-111.99	-111.99	3
620	1	10	-111.99	-111.99	4
621	1	10	-111.99	-111.99	3
622	1	10	-111.99	-111.99	2
623	1	10	-111.99	-111.99	2
624	1	10	-111.99	-111.99	1
625	1	10	-111.99	-111.99	2
626	1	10	-111.99	-111.99	1
627	1	10	-111.99	-111.99	2
628	1	10	-111.99	-111.99	3
629	1	10	-111.99	-111.99	3
630	1	10	-111.99	-111.99	3
631	1	10	-111.99	-111.99	2
632	1	10	-111.99	-111.99	2
633	1	10	-111.99	-111.99	2
634	1	10	-111.99	-111.99	2
635	1	10	-111.99	-111.99	1
636	1	10	-111.99	-111.99	2
637	1	10	-111.99	-111.99	2
638	1	10	-111.99	-111.99	2
639	1	10	-111.99	-111.99	2
640	1	10	-111.99	-111.99	2
641	1	10	-111.99	-111.99	1
642	1	10	-111.99	-111.99	4
643	1	10	-111.99	-111.99	3
644	1	10	-111.99	-111.99	2
645	1	10	-111.99	-111.99	2
646	1	10	-111.99	-111.99	3
647	1	10	-111.99	-111.99	2
648	1	10	-111.99	-111.99	4
649	1	10	-111.99	-111.99	4
650	1	10	-111.99	-111.99	3
651	1	10	-111.99	-111.99	2
652	1	10	-111.99	-111.99	3
653	1	10	-111.99	-111.99	2
654	1	10	-111.99	-111.99	2
655	1	10	-111.99	-111.99	2
656	1	10	-111.99	-111.99	2
657	1	10	-111.99	-111.99	2
658	1	10	-111.99	-111.99	2
659	1	10	-111.99	-111.99	1
660	1	10	-111.99	-111.99	2
661	1	10	-111.99	-111.99	2
662	1	10	-111.99	-111.99	1
663	1	10	-111.99	-111.99	2
664	1	10	-111.99	-111.99	3
665	1	10	-111.99	-111.99	4
666	1	10	-111.99	-111.99	1
667	1	10	-111.99	-111.99	1
668	1	10	-111.99	-111.99	3
669	1	10	-111.99	1e+21	2
670	1	10	-111.99	-111.99	2
671	1	10	-111.99	-111.99	2
672	1	10	-111.99	-111.99	2
673	1	10	-111.99	-111.99	2
674	1	10	-111.99	-111.99	2
675	1	10	-111.99	-111.99	3
676	1	10	-111.99	-111.99	3
677	1	10	-111.99	-111.99	3
678	1	10	-111.99	-111.99	1
679	1	10	-111.99	-111.99	3
680	1	10	-111.99	-111.99	2
681	1	10	-111.99	-111.99	4
682	1	10	-111.99	-111.99	1
683	1	10	-111.99	-111.99	2
684	1	10	-111.99	-111.99	2
685	1	10	-111.99	-111.99	2
686	1	10	-111.99	-111.99	3
687	1	10	-111.99	-111.99	2
688	1	10	-111.99	-111.99	1
689	1	10	-111.99	-111.99	2
690	1	10	-111.99	-111.99	2
691	1	10	-111.99	-111.99	5
692	1	10	-111.99	-111.99	3
693	1	10	-111.99	-111.99	1
694	1	10	-111.99	-111.99	3
695	1	10	-111.99	-111.99	2
696	1	10	-111.99	-111.99	2
697	1	10	-111.99	-111.99	2
698	1	10	-111.99	-111.99	2
699	1	10	-111.99	-111.99	3
700	1	10	-111.99	-111.99	3
701	1	10	-111.99	-111.99	1
702	1	10	-111.99	-111.99	2
703	1	10	-111.99	-111.99	3
